model,array_dim,batch_size,asram_size,wsram_size,array_execution_time,input_data_moved,weight_data_moved,input_transfer_window_cycles,weight_transfer_window_cycles,input_sram_window_cycles,weight_sram_window_cycles,input_dram_bandwidth,weight_dram_bandwidth,input_sram_bandwidth,weight_sram_bandwidth,input_active_avg_required_bandwidth,weight_active_avg_required_bandwidth,input_peak_required_bandwidth,weight_peak_required_bandwidth,input_required_bandwidth,weight_required_bandwidth
llama_3_70b,512x512,512,8388608,8388608,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50232563305572.71,7267460.183067381,12628815.688720703,51.35537478717252,125.01166575677905,137.2153394216328,1896.8515134149802,51.35537478717252,125.01166575677905,81486.31029986963,317.95104353349353,51.35537478717252,125.01166575677905
llama_3_70b,512x512,512,8388608,16777216,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50239573094281.43,7267460.183067381,6401892.356079102,51.35537478717252,124.99422322474489,137.2153394216328,1870.9302515092716,51.35537478717252,124.99422322474489,81486.31029986963,317.5969777834562,51.35537478717252,124.99422322474489
llama_3_70b,512x512,512,8388608,25165824,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50246582882990.16,7267460.183067381,4325910.0011255,51.35537478717252,124.97678555944817,137.2153394216328,1845.8534848202412,51.35537478717252,124.97678555944817,81486.31029986963,317.43422364483683,51.35537478717252,124.97678555944817
llama_3_70b,512x512,512,8388608,33554432,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50253592671698.87,7267460.183067381,3288430.689758301,51.35537478717252,124.95935275885242,137.2153394216328,1821.1565342091335,51.35537478717252,124.95935275885242,81486.31029986963,317.3551024525027,51.35537478717252,124.95935275885242
llama_3_70b,512x512,512,8388608,41943040,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50260602460407.586,7267460.183067381,2665567.223300543,51.35537478717252,124.94192482092215,137.2153394216328,1797.365149330378,51.35537478717252,124.94192482092215,81486.31029986963,317.2760206926092,51.35537478717252,124.94192482092215
llama_3_70b,512x512,512,8388608,50331648,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50267612249116.305,7267460.183067381,2250268.2145930985,51.35537478717252,124.92450174362311,137.2153394216328,1774.2320668294449,51.35537478717252,124.92450174362311,81486.31029986963,317.1969783356853,51.35537478717252,124.92450174362311
llama_3_70b,512x512,512,8388608,58720256,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50274622037825.016,7267460.183067381,1953238.8052343093,51.35537478717252,124.90708352492213,137.2153394216328,1752.0341882265268,51.35537478717252,124.90708352492213,81486.31029986963,317.1179753522891,51.35537478717252,124.90708352492213
llama_3_70b,512x512,512,8388608,67108864,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50281631826533.734,7267460.183067381,1731699.8565979004,51.35537478717252,124.88967016278718,137.2153394216328,1729.152720989617,51.35537478717252,124.88967016278718,81486.31029986963,317.03901171300816,51.35537478717252,124.88967016278718
llama_3_70b,512x512,512,8388608,75497472,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50288641615242.445,7267460.183067381,1558387.198676691,51.35537478717252,124.8722616551874,137.2153394216328,1707.9615081918707,51.35537478717252,124.8722616551874,81486.31029986963,316.9600873884592,51.35537478717252,124.8722616551874
llama_3_70b,512x512,512,8388608,83886080,50275.62025795198,280688821534720.0,6742729732128768.0,5090252714946.5,50295651403951.164,7267460.183067381,1419334.1665283204,51.35537478717252,124.85485800009297,137.2153394216328,1687.7623830040259,51.35537478717252,124.85485800009297,81486.31029986963,316.88120234928834,51.35537478717252,124.85485800009297
llama_3_70b,512x512,512,16777216,8388608,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50232563305572.71,6669269.207006573,12628815.688720703,37.38587342529696,125.01166575677905,74.03963889782817,1896.8515134149802,37.38587342529696,125.01166575677905,40743.15514993481,317.95104353349353,37.38587342529696,125.01166575677905
llama_3_70b,512x512,512,16777216,16777216,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50239573094281.43,6669269.207006573,6401892.356079102,37.38587342529696,124.99422322474489,74.03963889782817,1870.9302515092716,37.38587342529696,124.99422322474489,40743.15514993481,317.5969777834562,37.38587342529696,124.99422322474489
llama_3_70b,512x512,512,16777216,25165824,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50246582882990.16,6669269.207006573,4325910.0011255,37.38587342529696,124.97678555944817,74.03963889782817,1845.8534848202412,37.38587342529696,124.97678555944817,40743.15514993481,317.43422364483683,37.38587342529696,124.97678555944817
llama_3_70b,512x512,512,16777216,33554432,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50253592671698.87,6669269.207006573,3288430.689758301,37.38587342529696,124.95935275885242,74.03963889782817,1821.1565342091335,37.38587342529696,124.95935275885242,40743.15514993481,317.3551024525027,37.38587342529696,124.95935275885242
llama_3_70b,512x512,512,16777216,41943040,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50260602460407.586,6669269.207006573,2665567.223300543,37.38587342529696,124.94192482092215,74.03963889782817,1797.365149330378,37.38587342529696,124.94192482092215,40743.15514993481,317.2760206926092,37.38587342529696,124.94192482092215
llama_3_70b,512x512,512,16777216,50331648,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50267612249116.305,6669269.207006573,2250268.2145930985,37.38587342529696,124.92450174362311,74.03963889782817,1774.2320668294449,37.38587342529696,124.92450174362311,40743.15514993481,317.1969783356853,37.38587342529696,124.92450174362311
llama_3_70b,512x512,512,16777216,58720256,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50274622037825.016,6669269.207006573,1953238.8052343093,37.38587342529696,124.90708352492213,74.03963889782817,1752.0341882265268,37.38587342529696,124.90708352492213,40743.15514993481,317.1179753522891,37.38587342529696,124.90708352492213
llama_3_70b,512x512,512,16777216,67108864,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50281631826533.734,6669269.207006573,1731699.8565979004,37.38587342529696,124.88967016278718,74.03963889782817,1729.152720989617,37.38587342529696,124.88967016278718,40743.15514993481,317.03901171300816,37.38587342529696,124.88967016278718
llama_3_70b,512x512,512,16777216,75497472,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50288641615242.445,6669269.207006573,1558387.198676691,37.38587342529696,124.8722616551874,74.03963889782817,1707.9615081918707,37.38587342529696,124.8722616551874,40743.15514993481,316.9600873884592,37.38587342529696,124.8722616551874
llama_3_70b,512x512,512,16777216,83886080,50275.62025795198,277979217264640.0,6742729732128768.0,6924763195109.0,50295651403951.164,6669269.207006573,1419334.1665283204,37.38587342529696,124.85485800009297,74.03963889782817,1687.7623830040259,37.38587342529696,124.85485800009297,40743.15514993481,316.88120234928834,37.38587342529696,124.85485800009297
llama_3_70b,512x512,512,25165824,8388608,50275.62025795198,275269612994560.0,6742729732128768.0,8236743703745.403,50232563305572.71,5702436.413807372,12628815.688720703,31.124533421007875,125.01166575677905,57.16586434738447,1896.8515134149802,31.124533421007875,125.01166575677905,27215.15441655802,317.95104353349353,31.124533421007875,125.01166575677905
llama_3_70b,512x512,512,25165824,16777216,50275.62025795198,275269612994560.0,6742729732128768.0,8236743703745.403,50239573094281.43,5702436.413807372,6401892.356079102,31.124533421007875,124.99422322474489,57.16586434738447,1870.9302515092716,31.124533421007875,124.99422322474489,27215.15441655802,317.5969777834562,31.124533421007875,124.99422322474489
llama_3_70b,512x512,512,25165824,25165824,50275.62025795198,275269612994560.0,6742729732128768.0,8236743703745.403,50246582882990.16,5702436.413807372,4325910.0011255,31.124533421007875,124.97678555944817,57.16586434738447,1845.8534848202412,31.124533421007875,124.97678555944817,27215.15441655802,317.43422364483683,31.124533421007875,124.97678555944817
